-432,0,156.31238133652633
2226,2865,137.90491183923453
5195,5930,132.27883915302587
6579,7250,132.89734947168876
10051,10625,132.77805659957005
12533,12989,132.68452570516325
14001,14503,133.19320683628752
16020,16309,127.59479831117625
19033,19610,-27.05766150357522
21918,22415,-20.16748479288468
24188,24476,-21.326991089323542
28095,28554,-23.007405615313203
31154,31799,148.0827333332236
32544,33119,150.10578036070166
34938,35501,151.45755927055296
38318,38535,-8.362779380478088
39580,40071,-17.232984579193513
40797,41676,None
