-738,0,186.24056318491017
2539,3316,102.735284944217
6602,7021,126.29305578487916
7814,8341,140.73199054344923
8892,9661,138.28413688874485
14029,14449,138.59841095338533
16618,17116,136.71824064851063
17955,18436,137.84985905813355
21545,22013,122.99813149390687
23952,24781,-15.637877956787662
27384,27887,-7.14567530615534
28912,29412,-8.481673070321577
30312,30732,-8.273583274184276
31257,32052,-8.31290915481506
36377,37034,-8.303877455495197
38332,38898,-8.304836431852308
41590,42130,-8.304639913632755
43664,43923,None
